CustomerKey,FirstName,LastName,Gender,EmailAddress,BirthDate,AnnualIncome,EducationLevel,HomeOwner,MaritalStatus,Occupation,Prefix,TotalChildren
11044,ADAM,FLORES,M,adam10@adventure-works.com,1949-05-24 00:00:00,20000,Partial High School,Y,M,Clerical,MR.,2
11045,LEONARD,NARA,M,leonard18@adventure-works.com,1950-05-19 00:00:00,30000,High School,N,S,Skilled Manual,MR.,3
11046,CHRISTINE,YUAN,F,christine4@adventure-works.com,1950-03-22 00:00:00,30000,High School,Y,M,Skilled Manual,MRS.,3
11047,JACLYN,LU,F,jaclyn12@adventure-works.com,1950-02-27 00:00:00,30000,High School,N,M,Skilled Manual,MRS.,3
11048,JEREMY,POWELL,M,jeremy26@adventure-works.com,1950-11-22 00:00:00,30000,High School,Y,M,Skilled Manual,MR.,3
11049,CAROL,RAI,F,carol8@adventure-works.com,1980-07-18 00:00:00,40000,Partial High School,Y,S,Clerical,MS.,0
11050,ALAN,ZHENG,M,alan23@adventure-works.com,1951-09-07 00:00:00,30000,High School,Y,M,Skilled Manual,MR.,3
11051,DANIEL,JOHNSON,M,daniel18@adventure-works.com,1951-08-04 00:00:00,30000,High School,N,S,Skilled Manual,MR.,3
11052,HEIDI,LOPEZ,F,heidi19@adventure-works.com,1951-08-07 00:00:00,40000,Partial College,N,S,Clerical,MRS.,2
11053,ANA,PRICE,F,ana0@adventure-works.com,1980-08-20 00:00:00,60000,Partial College,N,M,Skilled Manual,MS.,0
11054,DEANNA,MUNOZ,F,deanna33@adventure-works.com,1952-03-10 00:00:00,40000,Partial College,Y,M,Skilled Manual,MRS.,2
11055,GILBERT,RAJE,M,gilbert35@adventure-works.com,1952-03-05 00:00:00,40000,Partial College,Y,M,Skilled Manual,MR.,2
11056,MICHELE,NATH,F,michele19@adventure-works.com,1953-04-03 00:00:00,40000,Partial College,Y,M,Skilled Manual,MRS.,3
11057,CARL,ANDERSEN,M,carl12@adventure-works.com,1953-10-12 00:00:00,70000,Graduate Degree,Y,M,Management,MR.,2
11058,MARC,DIAZ,M,marc6@adventure-works.com,1954-04-27 00:00:00,80000,Partial College,Y,M,Skilled Manual,MR.,2
11059,ASHLEE,ANDERSEN,F,ashlee19@adventure-works.com,1954-04-01 00:00:00,80000,Partial College,Y,S,Skilled Manual,MRS.,2
11060,JON,ZHOU,M,jon28@adventure-works.com,1954-03-17 00:00:00,80000,Partial College,Y,M,Skilled Manual,MR.,2
11061,TODD,GAO,M,todd14@adventure-works.com,1954-02-27 00:00:00,80000,Partial College,Y,M,Skilled Manual,MR.,2
11062,NOAH,POWELL,M,noah5@adventure-works.com,1975-09-02 00:00:00,40000,High School,Y,M,Skilled Manual,MR.,0
11063,ANGELA,MURPHY,F,angela41@adventure-works.com,1975-04-07 00:00:00,40000,High School,Y,S,Skilled Manual,MS.,0
11064,CHASE,REED,M,chase21@adventure-works.com,1975-12-07 00:00:00,40000,High School,Y,M,Skilled Manual,MR.,0
11065,JESSICA,HENDERSON,F,jessica29@adventure-works.com,1973-10-09 00:00:00,60000,Partial College,N,M,Skilled Manual,MS.,0
11066,GRACE,BUTLER,F,grace62@adventure-works.com,1973-11-27 00:00:00,70000,Partial College,Y,M,Professional,MS.,0
11067,CALEB,CARTER,M,caleb40@adventure-works.com,1976-09-25 00:00:00,60000,Partial College,Y,S,Professional,MR.,0
11068,TIFFANY,LIANG,F,tiffany17@adventure-works.com,1955-09-23 00:00:00,80000,High School,Y,S,Skilled Manual,MRS.,2
11069,CAROLYN,NAVARRO,F,carolyn30@adventure-works.com,1955-09-21 00:00:00,80000,High School,N,S,Skilled Manual,MRS.,2
11070,WILLIE,RAJI,M,willie40@adventure-works.com,1955-04-05 00:00:00,80000,High School,Y,M,Skilled Manual,MR.,2
11071,LINDA,SERRANO,F,linda31@adventure-works.com,1955-06-26 00:00:00,80000,High School,Y,S,Skilled Manual,MRS.,2
11072,CASEY,LUO,F,casey6@adventure-works.com,1955-02-06 00:00:00,80000,High School,N,S,Skilled Manual,MRS.,2
11073,AMY,YE,F,amy16@adventure-works.com,1956-08-14 00:00:00,70000,High School,Y,S,Skilled Manual,MRS.,2
11074,LEVI,ARUN,M,levi6@adventure-works.com,1956-08-28 00:00:00,70000,High School,Y,S,Skilled Manual,MR.,2
11075,FELICIA,JIMENEZ,F,felicia4@adventure-works.com,1957-11-16 00:00:00,80000,High School,Y,S,Professional,MRS.,2
11076,BLAKE,ANDERSON,M,blake9@adventure-works.com,1957-07-13 00:00:00,80000,High School,Y,S,Professional,MR.,2
11077,LEAH,YE,F,leah7@adventure-works.com,1957-09-19 00:00:00,80000,High School,N,S,Professional,MRS.,2
11078,GINA,MARTIN,F,gina1@adventure-works.com,1974-01-10 00:00:00,40000,High School,N,S,Professional,MS.,0
11079,DONALD,GONZALEZ,M,donald20@adventure-works.com,1959-03-11 00:00:00,160000,Graduate Degree,Y,S,Management,MR.,0
11080,DAMIEN,CHANDER,M,damien32@adventure-works.com,1959-07-17 00:00:00,170000,Graduate Degree,Y,M,Management,MR.,0
11081,SAVANNAH,BAKER,F,savannah39@adventure-works.com,1966-07-24 00:00:00,120000,Bachelors,Y,M,Management,MRS.,2
11082,ANGELA,BUTLER,NA,angela17@adventure-works.com,1966-08-04 00:00:00,130000,Graduate Degree,N,S,Management,"",0
11083,ALYSSA,COX,F,alyssa37@adventure-works.com,1966-03-15 00:00:00,130000,Graduate Degree,Y,M,Management,MS.,0
11084,LUCAS,PHILLIPS,M,lucas7@adventure-works.com,1957-09-12 00:00:00,80000,Partial High School,N,S,Skilled Manual,MR.,2
11085,EMILY,JOHNSON,F,emily1@adventure-works.com,1957-07-19 00:00:00,60000,High School,N,S,Professional,MRS.,2
11086,RYAN,BROWN,M,ryan43@adventure-works.com,1957-12-23 00:00:00,70000,Partial College,Y,M,Professional,MR.,2
11087,TAMARA,LIANG,F,tamara6@adventure-works.com,1957-10-03 00:00:00,70000,Partial College,N,M,Professional,MRS.,3
11089,ABIGAIL,PRICE,F,abigail25@adventure-works.com,1957-02-05 00:00:00,80000,Bachelors,Y,S,Management,MRS.,2
11090,TREVOR,BRYANT,M,trevor18@adventure-works.com,1957-12-17 00:00:00,90000,Partial College,Y,S,Professional,MR.,2
11091,DALTON,PEREZ,M,dalton37@adventure-works.com,1957-04-04 00:00:00,90000,Partial College,Y,M,Professional,MR.,2
11092,CHERYL,DIAZ,F,cheryl4@adventure-works.com,1967-05-06 00:00:00,90000,Bachelors,Y,M,Professional,MRS.,2
11093,AIMEE,HE,F,aimee13@adventure-works.com,1967-09-10 00:00:00,100000,Graduate Degree,Y,M,Management,MS.,0
11094,CEDRIC,MA,M,cedric15@adventure-works.com,1962-04-01 00:00:00,70000,Partial College,N,S,Skilled Manual,MR.,1
11095,CHAD,KUMAR,M,chad9@adventure-works.com,1962-09-01 00:00:00,70000,Partial College,Y,S,Skilled Manual,MR.,1
11096,ANDRÉS,ANAND,M,andrés18@adventure-works.com,1962-08-10 00:00:00,60000,Bachelors,Y,M,Professional,MR.,1
11097,EDWIN,NARA,M,edwin39@adventure-works.com,1961-10-27 00:00:00,60000,Partial College,Y,M,Skilled Manual,MR.,1
11098,MALLORY,RUBIO,F,mallory7@adventure-works.com,1961-05-01 00:00:00,60000,Partial College,N,S,Skilled Manual,MRS.,1
11099,ADAM,ROSS,M,adam2@adventure-works.com,1961-03-08 00:00:00,60000,Bachelors,Y,M,Professional,MR.,1
11100,LATASHA,NAVARRO,F,latasha10@adventure-works.com,1960-09-15 00:00:00,60000,Partial College,Y,S,Skilled Manual,MRS.,1
11101,ABBY,SAI,F,abby4@adventure-works.com,1965-05-08 00:00:00,70000,Bachelors,N,S,Professional,MS.,0
11102,JULIA,NELSON,F,julia7@adventure-works.com,1965-04-21 00:00:00,80000,Bachelors,Y,S,Professional,MRS.,5
11103,CASSIE,CHANDE,F,cassie13@adventure-works.com,1964-10-17 00:00:00,70000,Bachelors,Y,S,Professional,MS.,0
11104,EDGAR,SARA,M,edgar11@adventure-works.com,1964-03-11 00:00:00,70000,Bachelors,N,M,Professional,MR.,0
11105,CANDACE,FERNANDEZ,F,candace15@adventure-works.com,1964-12-28 00:00:00,70000,Bachelors,N,S,Professional,MS.,0
11106,JESSIE,LIU,M,jessie9@adventure-works.com,1964-09-11 00:00:00,70000,Bachelors,N,S,Professional,MR.,0
11107,BIANCA,LIN,F,bianca7@adventure-works.com,1959-09-09 00:00:00,90000,Bachelors,Y,M,Professional,MRS.,1
11108,KARI,ALVAREZ,F,kari25@adventure-works.com,1963-07-14 00:00:00,70000,Bachelors,N,S,Professional,MS.,0
11109,RUBEN,KAPOOR,M,ruben1@adventure-works.com,1963-11-05 00:00:00,70000,Bachelors,N,S,Professional,MR.,0
11110,CURTIS,YANG,M,curtis5@adventure-works.com,1962-06-06 00:00:00,60000,Partial College,Y,M,Skilled Manual,MR.,1
11111,MEREDITH,GUTIERREZ,F,meredith34@adventure-works.com,1962-02-23 00:00:00,60000,Partial College,Y,M,Skilled Manual,MRS.,1
11112,CRYSTAL,WANG,F,crystal3@adventure-works.com,1962-09-09 00:00:00,60000,Partial College,Y,M,Skilled Manual,MRS.,1
11113,MICHEAL,BLANCO,M,micheal11@adventure-works.com,1962-02-21 00:00:00,70000,Bachelors,Y,M,Professional,MR.,5
11114,LESLIE,MORENO,F,leslie7@adventure-works.com,1962-05-28 00:00:00,70000,Partial College,Y,S,Skilled Manual,MRS.,5
11115,ALVIN,CAI,M,alvin20@adventure-works.com,1962-02-12 00:00:00,70000,Partial College,Y,M,Skilled Manual,MR.,5
11116,CLINTON,CARLSON,M,clinton14@adventure-works.com,1962-10-07 00:00:00,70000,Partial College,Y,M,Skilled Manual,MR.,5
11117,APRIL,DENG,F,april1@adventure-works.com,1961-02-21 00:00:00,70000,Partial College,Y,M,Skilled Manual,MRS.,5
11118,ALVIN,ZENG,M,alvin21@adventure-works.com,1957-07-03 00:00:00,80000,Partial College,N,S,Skilled Manual,MR.,1
11119,EVAN,JAMES,M,evan8@adventure-works.com,1935-04-10 00:00:00,30000,Partial College,N,S,Clerical,MR.,2
11121,ORLANDO,SUAREZ,M,orlando19@adventure-works.com,1960-11-18 00:00:00,70000,Partial College,Y,M,Skilled Manual,MR.,5
11122,BYRON,VAZQUEZ,M,byron9@adventure-works.com,1960-04-02 00:00:00,70000,Partial College,Y,M,Skilled Manual,MR.,5
11123,PHILIP,ALVAREZ,M,philip4@adventure-works.com,1960-06-20 00:00:00,70000,Partial College,Y,M,Skilled Manual,MR.,5
11124,ROSS,JORDAN,M,ross1@adventure-works.com,1957-07-27 00:00:00,80000,Partial College,Y,S,Skilled Manual,MR.,1
11125,DANA,NAVARRO,F,dana2@adventure-works.com,1956-04-08 00:00:00,70000,Partial College,Y,S,Skilled Manual,MRS.,1
11126,SHAUN,CARSON,M,shaun16@adventure-works.com,1949-04-07 00:00:00,10000,High School,N,M,Skilled Manual,MR.,2
11127,JAN,EDWARDS,F,jan11@adventure-works.com,1975-10-21 00:00:00,40000,High School,Y,M,Skilled Manual,MS.,0
11128,SAMANTHA,LONG,F,samantha35@adventure-works.com,1975-12-05 00:00:00,40000,High School,Y,M,Skilled Manual,MS.,0
11129,JULIA,WRIGHT,F,julia17@adventure-works.com,1975-08-05 00:00:00,40000,High School,Y,S,Skilled Manual,MS.,0
11130,CAROLINE,RUSSELL,F,caroline21@adventure-works.com,1980-01-06 00:00:00,30000,High School,Y,M,Skilled Manual,MS.,0
11131,AMANDA,RIVERA,F,amanda7@adventure-works.com,1980-03-12 00:00:00,30000,High School,N,M,Skilled Manual,MS.,0
11132,MELISSA,RICHARDSON,F,melissa31@adventure-works.com,1980-10-26 00:00:00,30000,High School,N,S,Skilled Manual,MS.,0
11133,ANGELA,GRIFFIN,F,angela23@adventure-works.com,1980-09-08 00:00:00,30000,Partial High School,N,S,Clerical,MS.,0
11134,LARRY,TOWNSEND,M,larry14@adventure-works.com,1946-02-26 00:00:00,10000,High School,Y,S,Skilled Manual,MR.,5
11135,MARCUS,HARRIS,M,marcus14@adventure-works.com,1979-11-03 00:00:00,30000,Partial High School,N,S,Clerical,MR.,0
11136,BRIANNA,MORGAN,F,brianna30@adventure-works.com,1978-10-26 00:00:00,40000,High School,N,S,Skilled Manual,MS.,0
11137,JASMINE,TAYLOR,F,jasmine7@adventure-works.com,1978-07-20 00:00:00,40000,High School,Y,M,Skilled Manual,MS.,0
11138,LAUREN,DAVIS,F,lauren23@adventure-works.com,1978-09-15 00:00:00,40000,High School,N,M,Skilled Manual,MS.,0
11139,TANYA,MORENO,F,tanya2@adventure-works.com,1938-11-09 00:00:00,30000,Partial College,N,S,Clerical,MRS.,2
11140,JAVIER,ALVAREZ,M,javier1@adventure-works.com,1977-02-11 00:00:00,30000,Partial High School,N,S,Clerical,MR.,0
11141,NICOLE,RAMIREZ,F,nicole42@adventure-works.com,1977-06-21 00:00:00,40000,High School,N,M,Skilled Manual,MS.,0
11142,EDUARDO,PATTERSON,M,eduardo55@adventure-works.com,1977-08-14 00:00:00,40000,High School,N,S,Skilled Manual,MR.,0
11143,JONATHAN,HENDERSON,M,jonathan4@adventure-works.com,1977-02-04 00:00:00,40000,High School,Y,M,Skilled Manual,MR.,0
11144,EDWARD,HERNANDEZ,M,edward48@adventure-works.com,1979-09-09 00:00:00,40000,High School,N,S,Skilled Manual,MR.,0
11145,JASMINE,COLEMAN,F,jasmine46@adventure-works.com,1979-12-08 00:00:00,40000,High School,N,S,Skilled Manual,MS.,0
11146,KARLA,GOEL,F,karla20@adventure-works.com,1939-08-26 00:00:00,40000,Bachelors,Y,S,Management,MRS.,2
11147,ERNEST,WU,M,ernest6@adventure-works.com,1939-02-05 00:00:00,60000,Graduate Degree,Y,M,Management,MR.,2
11148,ROSS,VAZQUEZ,M,ross32@adventure-works.com,1941-08-16 00:00:00,40000,Bachelors,Y,M,Management,MR.,2
11149,THEODORE,GILL,M,theodore14@adventure-works.com,1941-04-20 00:00:00,40000,Bachelors,Y,M,Management,MR.,2
11150,RUSSELL,SHEN,M,russell6@adventure-works.com,1941-03-15 00:00:00,40000,Bachelors,Y,S,Management,MR.,2
11151,MELINDA,GILL,F,melinda9@adventure-works.com,1942-02-25 00:00:00,60000,Graduate Degree,N,S,Management,MRS.,2
11152,JAMES,WILLIAMS,M,james77@adventure-works.com,1976-01-10 00:00:00,40000,High School,Y,S,Skilled Manual,MR.,0
11153,ANGELA,JAMES,F,angela34@adventure-works.com,1976-06-23 00:00:00,40000,High School,Y,M,Skilled Manual,MS.,0
11154,MEGAN,WALKER,F,megan25@adventure-works.com,1976-08-21 00:00:00,40000,Partial College,Y,S,Skilled Manual,MS.,0
11155,HUNTER,ROBINSON,M,hunter50@adventure-works.com,1976-01-26 00:00:00,40000,Partial College,N,S,Skilled Manual,MR.,0
11156,MARIA,ROBERTS,F,maria47@adventure-works.com,1976-02-07 00:00:00,40000,Partial College,N,S,Skilled Manual,MS.,0
11157,HANNAH,LONG,F,hannah32@adventure-works.com,1975-06-11 00:00:00,40000,High School,Y,M,Skilled Manual,MS.,0
11158,JASON,WRIGHT,M,jason46@adventure-works.com,1975-10-08 00:00:00,40000,High School,Y,S,Skilled Manual,MR.,0
11159,BRIANNA,HUGHES,F,brianna57@adventure-works.com,1975-09-17 00:00:00,40000,High School,N,S,Skilled Manual,MS.,0
11160,MAURICE,TANG,M,maurice4@adventure-works.com,1974-01-08 00:00:00,40000,Partial College,N,S,Skilled Manual,MR.,0
11161,EMILY,WOOD,F,emily27@adventure-works.com,1974-04-22 00:00:00,40000,Partial College,N,S,Skilled Manual,MS.,0
11162,CHASE,COX,M,chase10@adventure-works.com,1974-03-05 00:00:00,40000,Partial College,Y,S,Skilled Manual,MR.,0
11163,GABRIEL,WANG,M,gabriel21@adventure-works.com,1974-12-20 00:00:00,40000,Partial College,Y,M,Skilled Manual,MR.,0
11164,DEVIN,BROOKS,M,devin63@adventure-works.com,1974-05-05 00:00:00,40000,Partial College,N,S,Skilled Manual,MR.,0
11165,JOCELYN,ALEXANDER,F,jocelyn18@adventure-works.com,1973-07-18 00:00:00,60000,Partial College,N,M,Skilled Manual,MS.,0
11166,ASHLEY,MARTINEZ,F,ashley18@adventure-works.com,1972-04-24 00:00:00,70000,Partial College,N,S,Skilled Manual,MS.,0
11167,JASMINE,BARNES,F,jasmine43@adventure-works.com,1972-08-01 00:00:00,80000,Bachelors,N,S,Management,MS.,0
11168,DAVID,RODRIGUEZ,M,david83@adventure-works.com,1968-05-15 00:00:00,80000,Bachelors,N,S,Management,MR.,0
11169,BRYCE,RICHARDSON,M,bryce8@adventure-works.com,1968-06-22 00:00:00,90000,Bachelors,Y,M,Management,MR.,4
11170,CAROL,HOWARD,F,carol5@adventure-works.com,1968-02-05 00:00:00,90000,Bachelors,Y,M,Management,MRS.,4
11171,JONATHAN,HILL,M,jonathan43@adventure-works.com,1967-10-09 00:00:00,100000,Bachelors,Y,S,Management,MR.,1
11172,GABRIELLE,ADAMS,F,gabrielle58@adventure-works.com,1967-11-21 00:00:00,100000,Bachelors,Y,M,Management,MRS.,1
11173,SARAH,THOMAS,F,sarah13@adventure-works.com,1967-09-01 00:00:00,110000,Graduate Degree,N,S,Management,MS.,0
11174,NICHOLAS,ROBINSON,M,nicholas19@adventure-works.com,1967-07-13 00:00:00,110000,Graduate Degree,Y,M,Management,MR.,0
11175,LUIS,WANG,M,luis24@adventure-works.com,1963-03-05 00:00:00,70000,Partial College,Y,S,Skilled Manual,MR.,0
11176,MASON,ROBERTS,M,mason25@adventure-works.com,1968-01-25 00:00:00,90000,Bachelors,Y,M,Management,MR.,4
11177,JOSE,FLORES,M,jose6@adventure-works.com,1942-07-04 00:00:00,110000,Graduate Degree,Y,M,Management,MR.,2
11178,NATHAN,JOHNSON,M,nathan55@adventure-works.com,1943-08-24 00:00:00,100000,Graduate Degree,Y,M,Management,MR.,2
11179,MOLLY,RODRIGUEZ,F,molly18@adventure-works.com,1943-06-14 00:00:00,120000,Graduate Degree,Y,M,Management,MRS.,2
11180,APRIL,ANAND,F,april18@adventure-works.com,1943-01-02 00:00:00,160000,Bachelors,Y,M,Management,MRS.,1
11181,DEVIN,MARTIN,M,devin13@adventure-works.com,1943-08-08 00:00:00,170000,Graduate Degree,Y,M,Management,MR.,2
11182,STEPHANIE,TORRES,F,stephanie19@adventure-works.com,1944-08-25 00:00:00,70000,Bachelors,Y,S,Management,MRS.,4
11183,JASMINE,LEE,F,jasmine19@adventure-works.com,1944-07-15 00:00:00,70000,Bachelors,Y,S,Management,MRS.,4
11184,MEGHAN,HERNANDEZ,F,meghan3@adventure-works.com,1944-11-16 00:00:00,70000,Bachelors,Y,S,Management,MRS.,4
11185,ASHLEY,HENDERSON,F,ashley31@adventure-works.com,1944-10-08 00:00:00,70000,Bachelors,Y,S,Management,MRS.,4
11186,SARAH,PRICE,F,sarah25@adventure-works.com,1944-05-21 00:00:00,70000,Bachelors,Y,S,Management,MRS.,4
11187,JENNIFER,COOPER,F,jennifer63@adventure-works.com,1944-02-22 00:00:00,60000,Graduate Degree,Y,M,Management,MRS.,4
11188,CATHERINE,MORRIS,F,catherine16@adventure-works.com,1944-09-06 00:00:00,60000,Graduate Degree,N,M,Management,MRS.,4
11190,CARSON,BRYANT,M,carson17@adventure-works.com,1944-06-22 00:00:00,70000,Bachelors,Y,M,Management,MR.,5
11191,KRISTI,PEREZ,F,kristi39@adventure-works.com,1945-12-18 00:00:00,70000,Bachelors,Y,S,Management,MRS.,5
11192,JAMES,BROWN,M,james79@adventure-works.com,1945-09-13 00:00:00,60000,Bachelors,Y,M,Management,MR.,4
11193,IAN,GRAY,M,ian72@adventure-works.com,1945-02-13 00:00:00,60000,Bachelors,Y,M,Management,MR.,4
11194,JACQUELINE,PRICE,F,jacqueline0@adventure-works.com,1945-06-10 00:00:00,60000,Bachelors,Y,M,Management,MRS.,4
11195,MEGAN,HENDERSON,F,megan55@adventure-works.com,1946-02-10 00:00:00,60000,Bachelors,Y,M,Management,MRS.,5
11196,ALFREDO,ROMERO,M,alfredo10@adventure-works.com,1946-06-07 00:00:00,60000,Bachelors,Y,M,Management,MR.,5
11197,ANDREA,MORRIS,F,andrea18@adventure-works.com,1946-06-18 00:00:00,70000,Bachelors,N,M,Management,MRS.,3
11198,BROOKE,SANDERS,F,brooke3@adventure-works.com,1946-11-26 00:00:00,70000,Bachelors,Y,S,Management,MRS.,4
11199,JACQUELINE,BENNETT,F,jacqueline1@adventure-works.com,1946-11-06 00:00:00,70000,Bachelors,Y,M,Management,MRS.,4
11200,JASON,GRIFFIN,M,jason18@adventure-works.com,1947-11-22 00:00:00,70000,Bachelors,Y,M,Management,MR.,4
11201,AMANDA,FOSTER,F,amanda37@adventure-works.com,1947-08-18 00:00:00,70000,Bachelors,Y,M,Management,MRS.,4
11202,ALEXIA,PRICE,F,alexia0@adventure-works.com,1947-08-26 00:00:00,80000,Bachelors,N,M,Management,MRS.,5
11203,LUIS,DIAZ,M,luis21@adventure-works.com,1948-08-21 00:00:00,40000,High School,Y,M,Professional,MR.,2
11205,ABBY,FERNANDEZ,F,abby13@adventure-works.com,1948-07-24 00:00:00,40000,High School,Y,M,Professional,MRS.,2
11206,BLAKE,FLORES,M,blake60@adventure-works.com,1948-09-24 00:00:00,60000,Partial College,Y,M,Professional,MR.,2
11207,DANIELLE,COX,F,danielle12@adventure-works.com,1948-07-19 00:00:00,60000,Partial College,Y,S,Professional,MRS.,2
11208,MARIA,REED,F,maria4@adventure-works.com,1948-02-04 00:00:00,60000,Bachelors,Y,M,Management,MRS.,2
11209,ALLISON,EVANS,F,allison21@adventure-works.com,1948-01-13 00:00:00,60000,Bachelors,Y,M,Management,MRS.,2
11210,EDWARD,WOOD,M,edward50@adventure-works.com,1948-06-08 00:00:00,70000,Partial College,Y,M,Professional,MR.,4
